datetime,tempmax,tempmin,windspeed,cloudcover,humidity,conditions
1/1/2023,21.2,11.1,13,27.2,67.4,Partially cloudy
1/2/2023,21,16,14.8,67.2,70,Partially cloudy
1/3/2023,21,15,16.6,68.7,67.3,"Rain, Partially cloudy"
1/4/2023,21,15.9,14.8,52.2,70.9,Partially cloudy
1/5/2023,21.2,17,14.8,78.6,75.9,Partially cloudy
1/6/2023,25,17,25.9,49.4,57.5,Partially cloudy
1/7/2023,22.2,13,9.4,29.3,59.5,Partially cloudy
1/8/2023,23,15.5,14.8,21.2,63.9,"Rain, Partially cloudy"
1/9/2023,23.2,17,13,49.1,73.9,"Rain, Partially cloudy"
1/10/2023,23,18,14.8,77.3,83.1,"Rain, Partially cloudy"
1/11/2023,21,18,11.2,87.7,89.9,"Rain, Partially cloudy"
1/12/2023,24,18.8,18.4,89.7,83.8,"Rain, Partially cloudy"
1/13/2023,28.8,19,16.6,55.7,80.6,Partially cloudy
1/14/2023,32,19.8,14.8,36.2,71,Partially cloudy
1/15/2023,22.4,15,29.5,81.2,74,"Rain, Partially cloudy"
1/16/2023,15.3,12,20.5,99,50.5,Overcast
1/17/2023,14,11.7,18.4,100,61,Overcast
1/18/2023,17,13,14.8,94.6,55.8,Overcast
1/19/2023,16.8,14,14.8,100,61,Overcast
1/20/2023,18,14,9.4,98.2,65.8,Overcast
1/21/2023,23,12,14.8,67.4,68.6,Partially cloudy
1/22/2023,21,15,9.4,85.8,81.4,Partially cloudy
1/23/2023,23.1,17,25.9,89.9,76.3,"Rain, Partially cloudy"
1/24/2023,20.1,13,29.5,67.1,46.2,"Rain, Partially cloudy"
1/25/2023,19,7,16.6,8.3,54.8,Clear
1/26/2023,18.4,12,13,91.3,76.9,"Rain, Overcast"
1/27/2023,17,14,25.9,80.3,60.3,"Rain, Partially cloudy"
1/28/2023,19.3,12,16.6,21,40,Partially cloudy
1/29/2023,21,8.7,9.4,7.8,50.5,Clear
1/30/2023,22,8.1,14.8,3.4,55.9,Clear
1/31/2023,23,10,18.4,1.6,62.6,Clear
2/1/2023,22.4,14,16.6,77,79.3,Partially cloudy
2/2/2023,23,19,9.4,96,84.8,"Rain, Overcast"
2/3/2023,22,19.8,13,94.3,95.1,"Rain, Overcast"
2/4/2023,22,19,16.6,99.2,94.2,"Rain, Overcast"
2/5/2023,23.6,19.8,18.4,95.5,94.6,"Rain, Overcast"
2/6/2023,21,19.7,24.1,100,94.7,"Rain, Overcast"
2/7/2023,22,19.8,13,98.9,97.2,"Rain, Overcast"
2/8/2023,22.1,20.4,18.4,98.9,95.5,"Rain, Overcast"
2/9/2023,24,21,16.6,99.5,94,"Rain, Overcast"
2/10/2023,24,21,20.5,98.6,91.2,"Rain, Overcast"
2/11/2023,25,22,20.5,98.6,90.9,"Rain, Overcast"
2/12/2023,27.1,22,22.3,88.7,85.6,Partially cloudy
2/13/2023,29,22,16.6,73.6,83.9,"Rain, Partially cloudy"
2/14/2023,24,17,27.7,99.8,68.2,"Rain, Overcast"
2/15/2023,17.4,16,18.4,100,59.6,Overcast
2/16/2023,18.1,16,11.2,100,68.1,Overcast
2/17/2023,20.1,16,10.4,96.2,76.8,Overcast
2/18/2023,23,17,13,91,78.9,Overcast
2/19/2023,23,19,16.6,81.1,83.3,"Rain, Partially cloudy"
2/20/2023,24.1,18.6,16.6,78.1,62,Partially cloudy
2/21/2023,23.4,18.8,14.8,55.7,71.7,"Rain, Partially cloudy"
2/22/2023,23,19,16.6,80.6,70.6,Partially cloudy
